"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.938470883E2,6.505304204E1,2.546536746E1,8.835390117E0,8.299999833E-1,1.923000031E2,3.790092468E0,2.500000000E0
1.948488092E2,6.505303326E1,2.546536643E1,8.493718571E0,9.499999881E-1,1.883999939E2,3.790092468E0,2.500000000E0
1.958486263E2,6.505302574E1,2.546536543E1,8.417122228E0,1.039999962E0,1.886999969E2,3.790092468E0,2.500000000E0
1.968483134E2,6.505301724E1,2.546536381E1,8.405589673E0,1.149999976E0,1.873000031E2,3.790092468E0,2.500000000E0
1.978453000E2,6.505300538E1,2.546535920E1,8.779556139E0,1.210000038E0,1.936999969E2,3.790092468E0,2.500000000E0
1.988450592E2,6.505299237E1,2.546535230E1,9.180073099E0,1.389999986E0,1.956000061E2,3.790092468E0,2.500000000E0
1.998473394E2,6.505297901E1,2.546534909E1,9.242394780E0,1.409999967E0,1.898999939E2,3.790092468E0,2.500000000E0
2.008480475E2,6.505296714E1,2.546534548E1,9.120267605E0,1.299999952E0,1.893999939E2,3.790092468E0,2.500000000E0
2.018476920E2,6.505295434E1,2.546533993E1,9.146456013E0,1.450000048E0,1.916999969E2,3.790092468E0,2.500000000E0
2.028484356E2,6.505294232E1,2.546533296E1,9.140844656E0,1.389999986E0,1.943000031E2,3.790092468E0,2.500000000E0
2.038480462E2,6.505293108E1,2.546532510E1,8.949930172E0,1.299999952E0,1.966000061E2,3.790092468E0,2.500000000E0
2.048460412E2,6.505291900E1,2.546531688E1,8.635114605E0,1.379999995E0,1.975000000E2,3.790092468E0,2.500000000E0
2.058482962E2,6.505290633E1,2.546530786E1,8.554674181E0,1.429999948E0,1.976999969E2,3.790092468E0,2.500000000E0
2.068459977E2,6.505289337E1,2.546530116E1,8.602591046E0,1.440000057E0,1.931999969E2,3.790092468E0,2.500000000E0
2.078477299E2,6.505288111E1,2.546529328E1,8.578608104E0,1.370000005E0,1.948999939E2,3.790092468E0,2.500000000E0
2.088495705E2,6.505286909E1,2.546528486E1,8.690000990E0,1.379999995E0,1.948999939E2,3.790092468E0,2.500000000E0
2.098480032E2,6.505285705E1,2.546527564E1,8.726991945E0,1.389999986E0,1.961000061E2,3.790092468E0,2.500000000E0
2.108486990E2,6.505284518E1,2.546526699E1,8.897832992E0,1.350000024E0,1.973000031E2,3.790092468E0,2.500000000E0
