"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.403564115E0,-9.623229504E-3,-1.040010452E-1,-4.646222591E-1
1.408688385E0,2.720028162E-2,-7.014846802E-2,-4.556527138E-1
1.413711562E0,5.189365149E-2,-8.634185791E-2,-4.042580128E-1
1.418734792E0,8.125787973E-2,-5.729007721E-2,-3.247022629E-1
1.423758021E0,8.896183968E-2,-2.614116669E-2,-3.122544289E-1
1.428781198E0,7.983618975E-2,-2.138710022E-2,-3.640666008E-1
1.433804427E0,7.558053732E-2,-1.900386810E-2,-3.917777538E-1
1.438948750E0,1.676523685E-2,-5.222892761E-2,-3.528330326E-1
1.443971927E0,-2.731806040E-2,-8.978939056E-2,-3.525280952E-1
1.448995156E0,-4.488110542E-3,-4.368686676E-2,-3.502960205E-1
1.454018385E0,1.112514734E-2,-3.106117249E-2,-3.864347935E-1
1.459041562E0,9.761691093E-3,-1.838684082E-2,-3.822655678E-1
1.464064792E0,-2.032321692E-2,-3.180599213E-2,-3.143517971E-1
1.469207292E0,-9.307724237E-2,-8.298492432E-2,-2.639648914E-1
1.474230469E0,-1.153042316E-1,-1.051454544E-1,-1.904239655E-1
1.479253698E0,-3.769505024E-2,-8.903694153E-2,-1.366868019E-1
1.484276927E0,3.208446503E-2,-3.504562378E-2,-7.867527008E-2
1.489300104E0,4.903358221E-2,-4.811477661E-2,4.472732544E-4
1.494323333E0,9.443038702E-2,-4.218292236E-2,7.917737961E-2
1.499471927E0,1.561192870E-1,-2.691936493E-2,1.100115776E-1
1.504495104E0,1.557096839E-1,-6.889057159E-2,9.569692612E-2
1.509518333E0,1.152154207E-1,-8.918285370E-2,9.355211258E-2
1.514541562E0,1.204725504E-1,-5.223369598E-2,5.333805084E-2
1.519564740E0,1.282881498E-1,-1.784992218E-2,-1.051044464E-2
1.524587969E0,1.434658170E-1,-5.116462708E-3,2.834177017E-2
1.529725833E0,1.255540848E-1,1.702022552E-2,9.066724777E-2
1.534749010E0,1.174830794E-1,4.369735718E-2,3.853845596E-2
1.539772240E0,1.595746875E-1,7.958030701E-2,1.300811768E-3
1.544795469E0,2.040477395E-1,1.246309280E-1,-3.072738647E-2
1.549818646E0,1.033221483E-1,9.576416016E-2,-7.694911957E-2
1.554841875E0,2.043735981E-2,8.623123169E-2,-8.489894867E-2
1.559983437E0,9.797036648E-3,6.502151489E-2,-4.548406601E-2
1.565006667E0,-7.976889610E-3,4.399108887E-2,-2.542543411E-2
1.570029896E0,-2.350181341E-2,5.625057220E-2,2.085924149E-2
1.575053073E0,1.993131638E-2,6.815433502E-2,6.483078003E-2
1.580076250E0,8.618348837E-2,8.193492889E-2,8.544301987E-2
1.585099531E0,7.782244682E-2,7.386875153E-2,5.193614960E-2
1.590219167E0,7.122164965E-2,7.740402222E-2,-1.392602921E-2
1.595242344E0,5.452263355E-2,4.742813110E-2,-5.511474609E-2
1.600265573E0,-1.235532761E-2,1.988506317E-2,-1.003718376E-1
1.605288802E0,-6.465685368E-2,-9.797096252E-3,-1.643109322E-1
1.610311979E0,-8.828812838E-2,-3.196239471E-2,-2.423312664E-1
1.615335208E0,-9.988164902E-2,-1.814937592E-2,-2.891736031E-1
1.620477760E0,-2.597713470E-2,1.701831818E-2,-2.907059193E-1
1.625500937E0,6.179219484E-2,6.638526917E-2,-2.475700378E-1
1.630524167E0,9.938085079E-2,7.284450531E-2,-1.672792435E-1
1.635547396E0,1.347995996E-1,7.229232788E-2,-1.188147068E-1
1.640570573E0,1.988216639E-1,1.739139557E-1,-1.087346077E-1
1.645593802E0,2.176012397E-1,2.177076340E-1,-4.884481430E-2
1.650761927E0,1.889549494E-1,2.086944580E-1,-3.890419006E-2
1.655789167E0,8.452314138E-2,1.711616516E-1,-2.885246277E-2
1.660816354E0,-3.565406799E-2,1.432399750E-1,-8.931636810E-3
1.665843542E0,-1.360042095E-1,1.130638123E-1,-9.348821640E-2
1.670870781E0,-2.002950311E-1,8.545780182E-2,-1.464064121E-1
1.675897969E0,-2.431895733E-1,6.988143921E-2,-1.489171982E-1
1.681021094E0,-2.817391753E-1,4.944038391E-2,-1.367511749E-1
1.686048333E0,-3.016788363E-1,3.126239777E-2,-1.004376411E-1
1.691075521E0,-2.340682149E-1,5.093479156E-2,-9.471559525E-2
1.696102708E0,-1.295621395E-1,7.964324951E-2,-1.359748840E-1
1.701129948E0,-1.141015887E-1,9.582996368E-2,-1.166512966E-1
1.706157135E0,-1.086046100E-1,1.020574570E-1,-1.419582367E-1
1.711280677E0,-6.786900759E-2,1.031675339E-1,-2.044124603E-1
1.716307917E0,4.121363163E-2,1.326160431E-1,-3.539090157E-1
1.721335104E0,1.042233706E-1,1.807146072E-1,-4.068765640E-1
